model,area,area_name,selected_method,correction_class,n_months,mae_original_clim,mae_corrected_clim,relative_improvement_clim_percent,corr_original_shape,corr_corrected_shape,amp_obs,amp_original,amp_corrected,amp_ratio_original,amp_ratio_corrected,amp_error_original,amp_error_corrected,std_obs,std_original,std_corrected,std_ratio_original,std_ratio_corrected
INM-CM5-0,setio,SETIO,xgb,Successful correction,12,0.40993628904188445,0.08196752714640294,80.00481310449973,0.781941815187396,0.989561404609587,1.5330629999999985,0.6470768413687722,1.3888338088989265,0.4220810503996071,0.9059208975097095,0.5779189496003929,0.0940791024902905,0.46605038571048674,0.20490490345019619,0.4347598943484692,0.43966255523600045,0.9328602822325408
INM-CM5-0,swio,SWIO,linear,Successful correction,12,0.40098257316039704,0.13834478975761666,65.49855305001563,0.9783263238646427,0.9783263238646428,2.454813699999999,1.8633322048499785,2.381370887180214,0.7590523895357025,0.9700821236170448,0.24094761046429747,0.029917876382955177,0.7794212790174563,0.5795150324860272,0.7406302662796663,0.7435196447504843,0.9502310062836747
INM-CM5-0,dmi,DMI,xgb,Successful correction,12,0.36600232319815634,0.050806209424753945,86.11861012771574,0.6104123949211336,0.9890701478013605,1.5159111065,1.5185097669124359,1.445193877071142,1.0017142564635177,0.9533500156271479,0.0017142564635177493,0.04664998437285206,0.43850370972291697,0.4448958155095367,0.4401410166846369,1.0145770848567253,1.0037338497381345
MIROC6,nino12,Niño 1+2,xgb,Successful correction,12,2.4275215809635005,0.1555798626973468,93.59099981160225,0.9686062858527142,0.995985108042706,5.4309547000000045,4.01279362009911,5.577268600463867,0.7388744413756769,1.0269407329919107,0.2611255586243231,0.026940732991910687,2.0656487893244067,1.4440740625395394,2.0352019994779114,0.6990898307605524,0.9852604227766845
MIROC6,nino3,Niño 3,xgb,Original already close,12,0.23681465256084108,0.13225082075398772,44.154291415726235,0.9932796750013754,0.990199372216426,2.6185025000000017,2.2960606826719463,2.4081159591674783,0.8768602216999772,0.9196538705490931,0.12313977830002276,0.08034612945090691,0.9668606023094066,0.8609116235541954,0.899594706536276,0.8904195925429731,0.930428548218366
MIROC6,nino34,Niño 3.4,linear,Mean corrected but seasonal cycle degraded,12,0.3820228189766797,0.22539037709669665,41.00080783120565,0.8951391945122861,0.8951391945122851,1.5769822999999974,1.7993138289190327,0.8941994257970585,1.1409854307933802,0.5670319988988208,0.14098543079338022,0.43296800110117917,0.5522065793066019,0.6934101662933798,0.344601904668228,1.2557079040312873,0.6240452714289275
MIROC6,nino4,Niño 4,linear,Mean corrected but seasonal cycle degraded,12,0.603093400037863,0.25586830047689685,57.574017480404684,0.2686590569977564,0.2686590569977829,0.8691683999999995,1.1752911367602898,0.10252320092875422,1.352201871076181,0.117955508884992,0.35220187107618095,0.882044491115008,0.3075414675907781,0.3917793525323962,0.03417576464512061,1.273907403777194,0.11112571229124679
MIROC6,norte,SNA_N,xgb,Successful correction,12,1.3454760989714607,0.05174351164042138,96.1542600660111,0.981938109199054,0.9996308744761265,4.5162473,3.4749392460639363,4.57945899963379,0.7694306833161985,1.0139965098088828,0.23056931668380154,0.013996509808882784,1.7028856930614535,1.288787387093329,1.7199475259122066,0.7568255416934903,1.0100193647291025
MIROC6,norteleste,SNA_NE,xgb,Successful correction,12,1.1318177325369347,0.05800608812866207,94.874962066671,0.9793090990737446,0.99933255387036,4.413300799999998,3.0020034759119447,4.523029708862307,0.6802172822464188,1.024863229096532,0.31978271775358125,0.024863229096532047,1.6374146717663176,1.137881956514292,1.673686253606071,0.6949259562251461,1.0221517386311352
MIROC6,centro,SNA_C,linear,Successful correction,12,0.6506946550717148,0.1284604116091478,80.25795807482238,0.9952166424981532,0.9952166424981532,3.307254000000004,2.5008064238293812,3.1593075851013452,0.756157955763113,0.9552660863366834,0.24384204423688705,0.04473391366331658,1.214888034504629,0.9314751509341607,1.1767470211362845,0.7667168697681429,0.9686053263468872
MIROC6,centroleste,SNA_CE,xgb,Successful correction,12,0.39209618451002964,0.1301569725718187,66.80483572303434,0.9883340119444789,0.9993600319071355,3.9460900999999993,2.7480277653543332,4.021354866027831,0.6963925545831642,1.0190732507673437,0.3036074454168358,0.019073250767343675,1.4520016630656973,1.0356119895184415,1.4729430376060377,0.7132305808327329,1.014422417737543
MIROC6,cbm,BMC,xgb,Successful correction,12,1.0488310362826732,0.12595679484456376,87.99074488766207,0.9673782811513574,0.999577065867497,8.3468898,6.424935537727563,8.18009557723999,0.7697400698554285,0.980017200806939,0.23025993014457147,0.019982799193061007,3.067978233643266,2.4314528323300273,3.051893608909351,0.7925261025866679,0.994757255916117
