model,area,method,rmse,mae,r2,bias,corr,n
INM-CM5-0,nino12,raw_historical,2.776085868600718,2.5275661990699643,-0.7012728036842961,2.5275661990699643,0.8936286039683089,120
INM-CM5-0,nino3,raw_historical,1.0783321375917223,0.8563090664584249,0.10935122355717863,-0.5569141985012475,0.7268051742153535,120
INM-CM5-0,nino34,raw_historical,1.9855487063485453,1.5693551847829241,-4.244035652510181,-1.500501993459051,0.4453826184376038,120
INM-CM5-0,nino4,raw_historical,2.303758683857674,1.9817932106352893,-9.747367815345166,-1.9817932106352893,0.055932108724568774,120
INM-CM5-0,norte,raw_historical,2.1780698416647892,2.1201547741201074,-0.7421467742151826,-2.1201547741201074,0.9846480013183988,120
INM-CM5-0,norteleste,raw_historical,2.233175695642245,2.152446023519004,-0.9217303317874017,-2.152446023519004,0.9673841209217258,120
INM-CM5-0,centro,raw_historical,1.5150397617061746,1.4212006881951378,-0.5131380591971269,-1.4212006881951378,0.9377135213698664,120
INM-CM5-0,centroleste,raw_historical,1.1389055319451664,1.0051275766512666,0.39975004732519404,-0.9534796979024985,0.9342891983454661,120
INM-CM5-0,cbm,raw_historical,2.5337792372803207,2.3816946740214795,0.28057432926390957,-2.3816946740214795,0.9781141594277086,120
INM-CM5-0,tna,raw_historical,1.3766094552628982,1.2832798711364701,-0.3121006188235096,-1.2811624943021258,0.9452387943090754,120
INM-CM5-0,tsa,raw_historical,0.49372174822833,0.4542253057264688,0.6514317829308804,-0.4540171678101081,0.9750198015372975,120
INM-CM5-0,nat,raw_historical,0.8984344564481067,0.7927457078145212,0.4609404125683848,-0.7147299929667194,0.9188429292249723,120
INM-CM5-0,sat,raw_historical,0.7665309432666936,0.639026500616754,0.5019923012038578,-0.5651922097375798,0.924117453264186,120
INM-CM5-0,tasi,raw_historical,0.555713104498728,0.46256320748270857,0.935504393354107,-0.14953775732913943,0.9698694623141894,120
INM-CM5-0,wtio,raw_historical,0.638739083776088,0.5344884068350148,0.29672296991895986,-0.5077139189939689,0.8773380189013646,120
INM-CM5-0,setio,raw_historical,0.5959349871237584,0.48581315173521616,-0.13202337544679632,-0.3867617708170234,0.6493664563893511,120
INM-CM5-0,swio,raw_historical,0.562230857649484,0.4522023983520941,0.513456003955485,-0.4009825731603962,0.8947339655836739,120
INM-CM5-0,dmi,raw_historical,0.5481710689525702,0.45189531107042746,0.08022570715080868,-0.12095216734361232,0.4606757293474231,120
MIROC6,nino12,raw_historical,2.656162162083875,2.4275215809634996,-0.5574615730172021,2.4275215809634996,0.8922663275549154,120
MIROC6,nino3,raw_historical,0.8113161080496228,0.640334729659237,0.4958246882700861,0.21879143528231407,0.7319892128935892,120
MIROC6,nino34,raw_historical,0.9514825410811185,0.7139191065239594,-0.20422099110602,-0.3593871862679761,0.42610624062285707,120
MIROC6,nino4,raw_historical,1.041179321359162,0.806303344053299,-1.1952258593323726,-0.6030934000378639,0.016515097049839705,120
MIROC6,norte,raw_historical,1.4524473018240178,1.34547609897146,0.22528510488421583,-1.34547609897146,0.9685663691977532,120
MIROC6,norteleste,raw_historical,1.315643154142845,1.1532278674428427,0.3330045364724755,-1.1318177325369336,0.9484222062367751,120
MIROC6,centro,raw_historical,0.8516659495313466,0.7350129801319373,0.521844603837711,-0.6506946550717136,0.9134642035638986,120
MIROC6,centroleste,raw_historical,0.7103633314827068,0.5883793089244581,0.7664833776348693,-0.1717755004108771,0.9138176161064518,120
MIROC6,cbm,raw_historical,1.401562698391303,1.1732175697678002,0.7798729338634618,0.9183040885219697,0.9505477616894228,120
MIROC6,tna,raw_historical,0.8142514666709053,0.701355222501522,0.5409470919268509,-0.5518510767199619,0.920835126309789,120
MIROC6,tsa,raw_historical,0.4103202497150616,0.3409179216656126,0.75924840697161,-0.31904282283179985,0.9517027311905805,120
MIROC6,nat,raw_historical,0.6436096322784013,0.5112254121703308,0.7233637773362622,0.010554396582505602,0.8880383523940848,120
MIROC6,sat,raw_historical,1.2988782101198881,1.2141208338966367,-0.4299259139522311,-1.2132571760490298,0.9257648608847834,120
MIROC6,tasi,raw_historical,1.3597004226128548,1.2260299760381144,0.6138862027804634,1.223811598531536,0.9654069488997344,120
MIROC6,wtio,raw_historical,0.3305296767388072,0.26577183561741846,0.8116782987612808,-0.0652452688972395,0.912641339208834,120
MIROC6,setio,raw_historical,0.3442189684761474,0.2423240681508608,0.6223171839850868,-0.004097960372602483,0.7891994667806913,120
MIROC6,swio,raw_historical,0.3383139317482285,0.26902366837843233,0.8238297678099169,-0.03308485924475413,0.9127616439211184,120
MIROC6,dmi,raw_historical,0.40398302563528965,0.3014122927177959,0.5004542362438288,-0.06114732769130379,0.7197315124093846,120
EC-EARTH3-Veg,nino12,raw_historical,2.7024700316848724,2.447788972770518,-0.612240928645843,2.414096734453812,0.8535679591481578,120
EC-EARTH3-Veg,nino3,raw_historical,1.3523934237743034,1.0711387146638591,-0.40090110791380495,0.9767351625219945,0.5847953949872979,120
EC-EARTH3-Veg,nino34,raw_historical,1.2017967958658473,0.9819522523933427,-0.921173685066077,0.8008204353164449,0.21435303755707427,120
EC-EARTH3-Veg,nino4,raw_historical,1.0987090063558393,0.8929071062675612,-1.4445195273316895,0.7770108583309133,0.06408088412498801,120
EC-EARTH3-Veg,norte,raw_historical,0.5709142353461799,0.4757313469610546,0.8803031058284757,-0.40716742415902163,0.9839285063784837,120
EC-EARTH3-Veg,norteleste,raw_historical,0.6251660145816811,0.49647956607650723,0.8493956967676689,-0.4521706192484152,0.9672673455776113,120
EC-EARTH3-Veg,centro,raw_historical,0.7756037933136288,0.6191685605643183,0.6034386885764407,-0.6060707865362327,0.9335398848567946,120
EC-EARTH3-Veg,centroleste,raw_historical,0.6865772196592452,0.5228074404066132,0.7818598995077854,-0.44804793915244795,0.9410072594225446,120
EC-EARTH3-Veg,cbm,raw_historical,2.45832371194307,2.3144016201418767,0.3227850691138954,2.3144016201418767,0.960743478945768,120
EC-EARTH3-Veg,tna,raw_historical,0.5926672515325794,0.4460504533220289,0.7567977968100643,-0.400815943523266,0.9395535948891581,120
EC-EARTH3-Veg,tsa,raw_historical,0.832143707997087,0.7536757609453925,0.009806807539093243,0.7536757609453925,0.9579172577258693,120
EC-EARTH3-Veg,nat,raw_historical,0.5768430873950688,0.4245137138884889,0.7777819353710776,-0.2825320864491771,0.9249293800187633,120
EC-EARTH3-Veg,sat,raw_historical,1.2475339099018368,0.9543252943312097,-0.3191111549549839,0.9025526085621954,0.9257845104697643,120
EC-EARTH3-Veg,tasi,raw_historical,1.5318746845881062,1.226971414417345,0.5099105721433099,-1.1850846691113726,0.9838387953288907,120
EC-EARTH3-Veg,wtio,raw_historical,0.8099923265034056,0.7185636787352802,-0.13094441499584586,0.606791730935345,0.7102692642592852,120
EC-EARTH3-Veg,setio,raw_historical,0.6300485819893024,0.4867472168383678,-0.2653355354224387,-0.2198137010830978,0.7524615931862612,120
