time,nino12,nino3,nino34,nino4,norte,norteleste,centro,centroleste,cbm,tna,tsa,nat,sat,tasi,wtio,setio,swio,dmi
1854-01-16 12:00:00,24.345409393310547,25.732980728149414,25.991323471069336,28.009016036987305,22.42559051513672,21.578332901000977,25.068717773208473,24.16471106547404,19.029977798461914,24.99168302453328,27.48839192035577,25.228318718876825,26.813575744628906,-1.9704337120056152,28.011972427368164,28.64441874314654,28.165985107421875,-0.9052113890647888
1854-02-15 00:00:00,25.630048751831055,25.944238662719727,26.531938552856445,27.75909423828125,21.880876541137695,21.02313995361328,24.33529241061211,23.475647689730387,19.572750091552734,24.354657101980457,27.807496101892376,24.52018513157646,27.24378776550293,-3.418743848800659,27.907068252563477,28.628833285686056,28.261085510253906,-0.435429185628891
1854-03-16 12:00:00,26.47620391845703,26.732664108276367,26.820478439331055,27.78338050842285,21.815866470336914,20.80385398864746,24.37225418417454,23.48572748501554,19.446199417114258,24.359782789686367,27.898768095251203,24.60634317084013,27.427906036376953,-3.370736837387085,28.787647247314453,28.716467535393402,29.027559280395508,-0.14084848761558533
1854-04-16 00:00:00,25.593490600585938,27.28131675720215,27.419721603393555,27.930347442626953,22.144058227539062,21.272077560424805,24.86666297382409,23.930806673689997,17.70557403564453,24.706610837527315,27.767730782072274,24.99452244384562,27.6652774810791,-2.854074001312256,29.611379623413086,28.900346939558936,29.48518180847168,0.36179423332214355
1854-05-16 12:00:00,24.4010066986084,26.78472900390625,27.880538940429688,28.312313079833984,22.985578536987305,21.993118286132812,25.579265736418094,24.80244334414223,16.024778366088867,25.47178279015049,27.332647154512994,25.68973084823721,27.176494598388672,-1.8897819519042969,29.309894561767578,28.8596565617641,28.76266860961914,0.03887706622481346
1854-06-16 00:00:00,23.06014633178711,26.399309158325195,27.662822723388672,28.425979614257812,24.153472900390625,23.006959915161133,26.244162485782105,25.43516279139382,13.17481803894043,26.143778098829433,26.676499251316333,26.234411748647528,26.449819564819336,-0.5103731751441956,27.917081832885742,28.636617521349883,27.684001922607422,-0.8553324341773987
1854-07-16 12:00:00,21.507822036743164,25.363481521606445,27.108421325683594,28.403308868408203,25.157381057739258,23.885417938232422,26.698865632511264,25.99513142259793,11.727946281433105,26.683253696345222,26.04905132987625,26.661007907700363,25.61943244934082,0.7978882789611816,27.236305236816406,28.320845698145483,26.897546768188477,-1.1721696853637695
1854-08-16 12:00:00,20.811656951904297,24.882055282592773,26.62856674194336,28.044530868530273,25.925085067749023,24.74446678161621,27.337158383271586,26.803805358330994,12.03132438659668,27.121626272603695,25.61957752819582,27.233424222065366,24.903776168823242,1.8436185121536255,26.909759521484375,27.964433183258336,26.730607986450195,-1.1447535753250122
1854-09-16 00:00:00,21.03295135498047,24.61854362487793,26.182363510131836,28.52177619934082,26.486011505126953,25.44253158569336,27.645459495282974,27.37884553662285,12.453710556030273,27.44002123907329,25.646837746204554,27.74060047404967,25.00693702697754,2.7189629077911377,27.333938598632812,27.687972513986573,27.05506134033203,-0.6293992400169373
1854-10-16 12:00:00,20.765060424804688,24.825918197631836,26.079097747802734,27.924076080322266,25.976097106933594,25.071212768554688,27.83389867377938,27.396700432722387,13.247515678405762,27.56021495626886,25.945409305074488,27.741460587706516,25.25571060180664,2.2782816886901855,27.863250732421875,27.691804008668434,27.53940200805664,0.09339002519845963
1854-11-16 00:00:00,21.60538101196289,24.458328247070312,26.125316619873047,28.297487258911133,24.997507095336914,24.212940216064453,27.079388320529404,26.510140392142592,15.265034675598145,26.930333199870685,26.406596524634686,27.03330000554009,25.90106964111328,1.2642258405685425,28.07221031188965,27.871547685824794,27.935253143310547,-0.2708185017108917
1854-12-16 12:00:00,23.272903442382812,24.517742156982422,26.069292068481445,28.013683319091797,23.61667251586914,22.789091110229492,26.190026891718894,25.47889327037694,16.960155487060547,26.085479847151227,26.908747721219207,26.283952382758763,26.312156677246094,-0.20892681181430817,28.016199111938477,28.008767355152198,28.33020782470703,-0.45037320256233215
1855-01-16 12:00:00,24.246213912963867,25.981693267822266,26.68532943725586,27.885324478149414,22.385360717773438,21.664958953857422,25.19312704263881,24.583531385258276,18.484636306762695,25.06335824287136,27.320788218645706,25.381468330932474,26.7545108795166,-1.7451130151748657,27.726699829101562,28.337851933158188,28.028879165649414,-0.47087064385414124
1855-02-15 00:00:00,25.805755615234375,26.16319465637207,26.3958797454834,28.403120040893555,21.925086975097656,20.53731918334961,24.29571460035369,23.425169418835157,19.31049156188965,24.174660544127306,27.53030067219375,24.432539603852113,27.34223747253418,-2.765552282333374,28.247314453125,28.62384343545963,28.532155990600586,-0.36027902364730835
1855-03-16 12:00:00,26.198089599609375,27.290769577026367,27.794557571411133,28.37934112548828,21.982501983642578,20.925888061523438,23.88034827528202,22.7187599335406,19.069805145263672,23.756048168426133,27.611872013440532,23.888709783100307,27.454158782958984,-3.9156758785247803,28.69424819946289,28.72381543240237,28.88558006286621,-0.14826920628547668
