figure_id,filename,experiment,model,region,method,figure_type,period,description
ACCESS-CM2_bmc_quantile_bias,figures/bias_diagnostics/quantile_bias/ACCESS-CM2_bmc_quantile_bias.png,historical,ACCESS-CM2,BMC,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
ACCESS-CM2_dmi_quantile_bias,figures/bias_diagnostics/quantile_bias/ACCESS-CM2_dmi_quantile_bias.png,historical,ACCESS-CM2,DMI,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
ACCESS-CM2_nat_quantile_bias,figures/bias_diagnostics/quantile_bias/ACCESS-CM2_nat_quantile_bias.png,historical,ACCESS-CM2,NAT,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
ACCESS-CM2_nino12_quantile_bias,figures/bias_diagnostics/quantile_bias/ACCESS-CM2_nino12_quantile_bias.png,historical,ACCESS-CM2,Nino 1+2,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
ACCESS-CM2_nino34_quantile_bias,figures/bias_diagnostics/quantile_bias/ACCESS-CM2_nino34_quantile_bias.png,historical,ACCESS-CM2,Nino 3.4,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
ACCESS-CM2_nino3_quantile_bias,figures/bias_diagnostics/quantile_bias/ACCESS-CM2_nino3_quantile_bias.png,historical,ACCESS-CM2,Nino 3,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
ACCESS-CM2_nino4_quantile_bias,figures/bias_diagnostics/quantile_bias/ACCESS-CM2_nino4_quantile_bias.png,historical,ACCESS-CM2,Nino 4,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
ACCESS-CM2_sat_quantile_bias,figures/bias_diagnostics/quantile_bias/ACCESS-CM2_sat_quantile_bias.png,historical,ACCESS-CM2,SAT,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
ACCESS-CM2_setio_quantile_bias,figures/bias_diagnostics/quantile_bias/ACCESS-CM2_setio_quantile_bias.png,historical,ACCESS-CM2,SETIO,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
ACCESS-CM2_sna_ce_quantile_bias,figures/bias_diagnostics/quantile_bias/ACCESS-CM2_sna_ce_quantile_bias.png,historical,ACCESS-CM2,SNA_CE,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
ACCESS-CM2_sna_c_quantile_bias,figures/bias_diagnostics/quantile_bias/ACCESS-CM2_sna_c_quantile_bias.png,historical,ACCESS-CM2,SNA_C,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
ACCESS-CM2_sna_ne_quantile_bias,figures/bias_diagnostics/quantile_bias/ACCESS-CM2_sna_ne_quantile_bias.png,historical,ACCESS-CM2,SNA_NE,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
ACCESS-CM2_sna_n_quantile_bias,figures/bias_diagnostics/quantile_bias/ACCESS-CM2_sna_n_quantile_bias.png,historical,ACCESS-CM2,SNA_N,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
ACCESS-CM2_swio_quantile_bias,figures/bias_diagnostics/quantile_bias/ACCESS-CM2_swio_quantile_bias.png,historical,ACCESS-CM2,SWIO,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
ACCESS-CM2_tasi_quantile_bias,figures/bias_diagnostics/quantile_bias/ACCESS-CM2_tasi_quantile_bias.png,historical,ACCESS-CM2,TASI,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
ACCESS-CM2_tna_quantile_bias,figures/bias_diagnostics/quantile_bias/ACCESS-CM2_tna_quantile_bias.png,historical,ACCESS-CM2,TNA,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
ACCESS-CM2_tsa_quantile_bias,figures/bias_diagnostics/quantile_bias/ACCESS-CM2_tsa_quantile_bias.png,historical,ACCESS-CM2,TSA,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
ACCESS-CM2_wtio_quantile_bias,figures/bias_diagnostics/quantile_bias/ACCESS-CM2_wtio_quantile_bias.png,historical,ACCESS-CM2,WTIO,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
BCC-CSM2-MR_bmc_quantile_bias,figures/bias_diagnostics/quantile_bias/BCC-CSM2-MR_bmc_quantile_bias.png,historical,BCC-CSM2-MR,BMC,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
BCC-CSM2-MR_dmi_quantile_bias,figures/bias_diagnostics/quantile_bias/BCC-CSM2-MR_dmi_quantile_bias.png,historical,BCC-CSM2-MR,DMI,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
BCC-CSM2-MR_nat_quantile_bias,figures/bias_diagnostics/quantile_bias/BCC-CSM2-MR_nat_quantile_bias.png,historical,BCC-CSM2-MR,NAT,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
BCC-CSM2-MR_nino12_quantile_bias,figures/bias_diagnostics/quantile_bias/BCC-CSM2-MR_nino12_quantile_bias.png,historical,BCC-CSM2-MR,Nino 1+2,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
BCC-CSM2-MR_nino34_quantile_bias,figures/bias_diagnostics/quantile_bias/BCC-CSM2-MR_nino34_quantile_bias.png,historical,BCC-CSM2-MR,Nino 3.4,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
BCC-CSM2-MR_nino3_quantile_bias,figures/bias_diagnostics/quantile_bias/BCC-CSM2-MR_nino3_quantile_bias.png,historical,BCC-CSM2-MR,Nino 3,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
BCC-CSM2-MR_nino4_quantile_bias,figures/bias_diagnostics/quantile_bias/BCC-CSM2-MR_nino4_quantile_bias.png,historical,BCC-CSM2-MR,Nino 4,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
BCC-CSM2-MR_sat_quantile_bias,figures/bias_diagnostics/quantile_bias/BCC-CSM2-MR_sat_quantile_bias.png,historical,BCC-CSM2-MR,SAT,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
BCC-CSM2-MR_setio_quantile_bias,figures/bias_diagnostics/quantile_bias/BCC-CSM2-MR_setio_quantile_bias.png,historical,BCC-CSM2-MR,SETIO,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
BCC-CSM2-MR_sna_ce_quantile_bias,figures/bias_diagnostics/quantile_bias/BCC-CSM2-MR_sna_ce_quantile_bias.png,historical,BCC-CSM2-MR,SNA_CE,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
BCC-CSM2-MR_sna_c_quantile_bias,figures/bias_diagnostics/quantile_bias/BCC-CSM2-MR_sna_c_quantile_bias.png,historical,BCC-CSM2-MR,SNA_C,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
BCC-CSM2-MR_sna_ne_quantile_bias,figures/bias_diagnostics/quantile_bias/BCC-CSM2-MR_sna_ne_quantile_bias.png,historical,BCC-CSM2-MR,SNA_NE,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
BCC-CSM2-MR_sna_n_quantile_bias,figures/bias_diagnostics/quantile_bias/BCC-CSM2-MR_sna_n_quantile_bias.png,historical,BCC-CSM2-MR,SNA_N,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
BCC-CSM2-MR_swio_quantile_bias,figures/bias_diagnostics/quantile_bias/BCC-CSM2-MR_swio_quantile_bias.png,historical,BCC-CSM2-MR,SWIO,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
BCC-CSM2-MR_tasi_quantile_bias,figures/bias_diagnostics/quantile_bias/BCC-CSM2-MR_tasi_quantile_bias.png,historical,BCC-CSM2-MR,TASI,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
BCC-CSM2-MR_tna_quantile_bias,figures/bias_diagnostics/quantile_bias/BCC-CSM2-MR_tna_quantile_bias.png,historical,BCC-CSM2-MR,TNA,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
BCC-CSM2-MR_tsa_quantile_bias,figures/bias_diagnostics/quantile_bias/BCC-CSM2-MR_tsa_quantile_bias.png,historical,BCC-CSM2-MR,TSA,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
BCC-CSM2-MR_wtio_quantile_bias,figures/bias_diagnostics/quantile_bias/BCC-CSM2-MR_wtio_quantile_bias.png,historical,BCC-CSM2-MR,WTIO,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
CMCC-ESM2_bmc_quantile_bias,figures/bias_diagnostics/quantile_bias/CMCC-ESM2_bmc_quantile_bias.png,historical,CMCC-ESM2,BMC,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
CMCC-ESM2_dmi_quantile_bias,figures/bias_diagnostics/quantile_bias/CMCC-ESM2_dmi_quantile_bias.png,historical,CMCC-ESM2,DMI,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
CMCC-ESM2_nat_quantile_bias,figures/bias_diagnostics/quantile_bias/CMCC-ESM2_nat_quantile_bias.png,historical,CMCC-ESM2,NAT,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
CMCC-ESM2_nino12_quantile_bias,figures/bias_diagnostics/quantile_bias/CMCC-ESM2_nino12_quantile_bias.png,historical,CMCC-ESM2,Nino 1+2,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
CMCC-ESM2_nino34_quantile_bias,figures/bias_diagnostics/quantile_bias/CMCC-ESM2_nino34_quantile_bias.png,historical,CMCC-ESM2,Nino 3.4,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
CMCC-ESM2_nino3_quantile_bias,figures/bias_diagnostics/quantile_bias/CMCC-ESM2_nino3_quantile_bias.png,historical,CMCC-ESM2,Nino 3,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
CMCC-ESM2_nino4_quantile_bias,figures/bias_diagnostics/quantile_bias/CMCC-ESM2_nino4_quantile_bias.png,historical,CMCC-ESM2,Nino 4,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
CMCC-ESM2_sat_quantile_bias,figures/bias_diagnostics/quantile_bias/CMCC-ESM2_sat_quantile_bias.png,historical,CMCC-ESM2,SAT,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
CMCC-ESM2_setio_quantile_bias,figures/bias_diagnostics/quantile_bias/CMCC-ESM2_setio_quantile_bias.png,historical,CMCC-ESM2,SETIO,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
CMCC-ESM2_sna_ce_quantile_bias,figures/bias_diagnostics/quantile_bias/CMCC-ESM2_sna_ce_quantile_bias.png,historical,CMCC-ESM2,SNA_CE,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
CMCC-ESM2_sna_c_quantile_bias,figures/bias_diagnostics/quantile_bias/CMCC-ESM2_sna_c_quantile_bias.png,historical,CMCC-ESM2,SNA_C,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
CMCC-ESM2_sna_ne_quantile_bias,figures/bias_diagnostics/quantile_bias/CMCC-ESM2_sna_ne_quantile_bias.png,historical,CMCC-ESM2,SNA_NE,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
CMCC-ESM2_sna_n_quantile_bias,figures/bias_diagnostics/quantile_bias/CMCC-ESM2_sna_n_quantile_bias.png,historical,CMCC-ESM2,SNA_N,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
CMCC-ESM2_swio_quantile_bias,figures/bias_diagnostics/quantile_bias/CMCC-ESM2_swio_quantile_bias.png,historical,CMCC-ESM2,SWIO,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
CMCC-ESM2_tasi_quantile_bias,figures/bias_diagnostics/quantile_bias/CMCC-ESM2_tasi_quantile_bias.png,historical,CMCC-ESM2,TASI,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
CMCC-ESM2_tna_quantile_bias,figures/bias_diagnostics/quantile_bias/CMCC-ESM2_tna_quantile_bias.png,historical,CMCC-ESM2,TNA,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
CMCC-ESM2_tsa_quantile_bias,figures/bias_diagnostics/quantile_bias/CMCC-ESM2_tsa_quantile_bias.png,historical,CMCC-ESM2,TSA,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
CMCC-ESM2_wtio_quantile_bias,figures/bias_diagnostics/quantile_bias/CMCC-ESM2_wtio_quantile_bias.png,historical,CMCC-ESM2,WTIO,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
EC-EARTH3-Veg_bmc_quantile_bias,figures/bias_diagnostics/quantile_bias/EC-EARTH3-Veg_bmc_quantile_bias.png,historical,EC-EARTH3-Veg,BMC,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
EC-EARTH3-Veg_dmi_quantile_bias,figures/bias_diagnostics/quantile_bias/EC-EARTH3-Veg_dmi_quantile_bias.png,historical,EC-EARTH3-Veg,DMI,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
EC-EARTH3-Veg_nat_quantile_bias,figures/bias_diagnostics/quantile_bias/EC-EARTH3-Veg_nat_quantile_bias.png,historical,EC-EARTH3-Veg,NAT,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
EC-EARTH3-Veg_nino12_quantile_bias,figures/bias_diagnostics/quantile_bias/EC-EARTH3-Veg_nino12_quantile_bias.png,historical,EC-EARTH3-Veg,Nino 1+2,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
EC-EARTH3-Veg_nino34_quantile_bias,figures/bias_diagnostics/quantile_bias/EC-EARTH3-Veg_nino34_quantile_bias.png,historical,EC-EARTH3-Veg,Nino 3.4,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
EC-EARTH3-Veg_nino3_quantile_bias,figures/bias_diagnostics/quantile_bias/EC-EARTH3-Veg_nino3_quantile_bias.png,historical,EC-EARTH3-Veg,Nino 3,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
EC-EARTH3-Veg_nino4_quantile_bias,figures/bias_diagnostics/quantile_bias/EC-EARTH3-Veg_nino4_quantile_bias.png,historical,EC-EARTH3-Veg,Nino 4,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
EC-EARTH3-Veg_sat_quantile_bias,figures/bias_diagnostics/quantile_bias/EC-EARTH3-Veg_sat_quantile_bias.png,historical,EC-EARTH3-Veg,SAT,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
EC-EARTH3-Veg_setio_quantile_bias,figures/bias_diagnostics/quantile_bias/EC-EARTH3-Veg_setio_quantile_bias.png,historical,EC-EARTH3-Veg,SETIO,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
EC-EARTH3-Veg_sna_ce_quantile_bias,figures/bias_diagnostics/quantile_bias/EC-EARTH3-Veg_sna_ce_quantile_bias.png,historical,EC-EARTH3-Veg,SNA_CE,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
EC-EARTH3-Veg_sna_c_quantile_bias,figures/bias_diagnostics/quantile_bias/EC-EARTH3-Veg_sna_c_quantile_bias.png,historical,EC-EARTH3-Veg,SNA_C,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
EC-EARTH3-Veg_sna_ne_quantile_bias,figures/bias_diagnostics/quantile_bias/EC-EARTH3-Veg_sna_ne_quantile_bias.png,historical,EC-EARTH3-Veg,SNA_NE,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
EC-EARTH3-Veg_sna_n_quantile_bias,figures/bias_diagnostics/quantile_bias/EC-EARTH3-Veg_sna_n_quantile_bias.png,historical,EC-EARTH3-Veg,SNA_N,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
EC-EARTH3-Veg_swio_quantile_bias,figures/bias_diagnostics/quantile_bias/EC-EARTH3-Veg_swio_quantile_bias.png,historical,EC-EARTH3-Veg,SWIO,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
EC-EARTH3-Veg_tasi_quantile_bias,figures/bias_diagnostics/quantile_bias/EC-EARTH3-Veg_tasi_quantile_bias.png,historical,EC-EARTH3-Veg,TASI,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
EC-EARTH3-Veg_tna_quantile_bias,figures/bias_diagnostics/quantile_bias/EC-EARTH3-Veg_tna_quantile_bias.png,historical,EC-EARTH3-Veg,TNA,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
EC-EARTH3-Veg_tsa_quantile_bias,figures/bias_diagnostics/quantile_bias/EC-EARTH3-Veg_tsa_quantile_bias.png,historical,EC-EARTH3-Veg,TSA,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
EC-EARTH3-Veg_wtio_quantile_bias,figures/bias_diagnostics/quantile_bias/EC-EARTH3-Veg_wtio_quantile_bias.png,historical,EC-EARTH3-Veg,WTIO,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
INM-CM5-0_bmc_quantile_bias,figures/bias_diagnostics/quantile_bias/INM-CM5-0_bmc_quantile_bias.png,historical,INM-CM5-0,BMC,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
INM-CM5-0_dmi_quantile_bias,figures/bias_diagnostics/quantile_bias/INM-CM5-0_dmi_quantile_bias.png,historical,INM-CM5-0,DMI,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
INM-CM5-0_nat_quantile_bias,figures/bias_diagnostics/quantile_bias/INM-CM5-0_nat_quantile_bias.png,historical,INM-CM5-0,NAT,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
INM-CM5-0_nino12_quantile_bias,figures/bias_diagnostics/quantile_bias/INM-CM5-0_nino12_quantile_bias.png,historical,INM-CM5-0,Nino 1+2,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
INM-CM5-0_nino34_quantile_bias,figures/bias_diagnostics/quantile_bias/INM-CM5-0_nino34_quantile_bias.png,historical,INM-CM5-0,Nino 3.4,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
INM-CM5-0_nino3_quantile_bias,figures/bias_diagnostics/quantile_bias/INM-CM5-0_nino3_quantile_bias.png,historical,INM-CM5-0,Nino 3,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
INM-CM5-0_nino4_quantile_bias,figures/bias_diagnostics/quantile_bias/INM-CM5-0_nino4_quantile_bias.png,historical,INM-CM5-0,Nino 4,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
INM-CM5-0_sat_quantile_bias,figures/bias_diagnostics/quantile_bias/INM-CM5-0_sat_quantile_bias.png,historical,INM-CM5-0,SAT,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
INM-CM5-0_setio_quantile_bias,figures/bias_diagnostics/quantile_bias/INM-CM5-0_setio_quantile_bias.png,historical,INM-CM5-0,SETIO,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
INM-CM5-0_sna_ce_quantile_bias,figures/bias_diagnostics/quantile_bias/INM-CM5-0_sna_ce_quantile_bias.png,historical,INM-CM5-0,SNA_CE,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
INM-CM5-0_sna_c_quantile_bias,figures/bias_diagnostics/quantile_bias/INM-CM5-0_sna_c_quantile_bias.png,historical,INM-CM5-0,SNA_C,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
INM-CM5-0_sna_ne_quantile_bias,figures/bias_diagnostics/quantile_bias/INM-CM5-0_sna_ne_quantile_bias.png,historical,INM-CM5-0,SNA_NE,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
INM-CM5-0_sna_n_quantile_bias,figures/bias_diagnostics/quantile_bias/INM-CM5-0_sna_n_quantile_bias.png,historical,INM-CM5-0,SNA_N,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
INM-CM5-0_swio_quantile_bias,figures/bias_diagnostics/quantile_bias/INM-CM5-0_swio_quantile_bias.png,historical,INM-CM5-0,SWIO,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
INM-CM5-0_tasi_quantile_bias,figures/bias_diagnostics/quantile_bias/INM-CM5-0_tasi_quantile_bias.png,historical,INM-CM5-0,TASI,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
INM-CM5-0_tna_quantile_bias,figures/bias_diagnostics/quantile_bias/INM-CM5-0_tna_quantile_bias.png,historical,INM-CM5-0,TNA,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
INM-CM5-0_tsa_quantile_bias,figures/bias_diagnostics/quantile_bias/INM-CM5-0_tsa_quantile_bias.png,historical,INM-CM5-0,TSA,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
INM-CM5-0_wtio_quantile_bias,figures/bias_diagnostics/quantile_bias/INM-CM5-0_wtio_quantile_bias.png,historical,INM-CM5-0,WTIO,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
MIROC6_bmc_quantile_bias,figures/bias_diagnostics/quantile_bias/MIROC6_bmc_quantile_bias.png,historical,MIROC6,BMC,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
MIROC6_dmi_quantile_bias,figures/bias_diagnostics/quantile_bias/MIROC6_dmi_quantile_bias.png,historical,MIROC6,DMI,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
MIROC6_nat_quantile_bias,figures/bias_diagnostics/quantile_bias/MIROC6_nat_quantile_bias.png,historical,MIROC6,NAT,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
MIROC6_nino12_quantile_bias,figures/bias_diagnostics/quantile_bias/MIROC6_nino12_quantile_bias.png,historical,MIROC6,Nino 1+2,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
MIROC6_nino34_quantile_bias,figures/bias_diagnostics/quantile_bias/MIROC6_nino34_quantile_bias.png,historical,MIROC6,Nino 3.4,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
MIROC6_nino3_quantile_bias,figures/bias_diagnostics/quantile_bias/MIROC6_nino3_quantile_bias.png,historical,MIROC6,Nino 3,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
MIROC6_nino4_quantile_bias,figures/bias_diagnostics/quantile_bias/MIROC6_nino4_quantile_bias.png,historical,MIROC6,Nino 4,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
MIROC6_sat_quantile_bias,figures/bias_diagnostics/quantile_bias/MIROC6_sat_quantile_bias.png,historical,MIROC6,SAT,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
MIROC6_setio_quantile_bias,figures/bias_diagnostics/quantile_bias/MIROC6_setio_quantile_bias.png,historical,MIROC6,SETIO,not applicable,quantile_bias,1981-2014,Mean SST bias by observed SST quantile bins between historical CMIP6 SST and NOAA OISST V2.
