time,nino12,nino3,nino34,nino4,norte,norteleste,centro,centroleste,cbm,tna,tsa,nat,sat,tasi,wtio,setio,swio,dmi
1854-01-16 12:00:00,25.462165596379045,24.726391913797446,25.2373193371336,26.94492430975,21.423406818862645,20.779188938712547,24.15407145328733,23.83565631898858,18.63587194679806,24.245830741916087,26.475230730602675,24.751999547175863,25.562930758009482,-0.8109312108336191,27.382796807045672,28.056472663035258,27.82506770807405,-0.6736758559895861
1854-02-15 00:00:00,26.461028752081287,25.42922410253888,25.561306768372706,27.008930707397184,20.891881243403304,20.27533109819965,23.840803199353182,23.53373168882274,19.712103863341273,23.998988055062966,26.80257425098724,24.54950056406402,26.013852689249433,-1.464352125185414,27.592152343660967,28.050596471346992,28.071255999865446,-0.4584441276860254
1854-03-16 12:00:00,26.983051606865025,26.014694619945494,26.070249370547995,27.263731239110953,20.737503874408418,20.1316104453152,23.850305051639953,23.560307037253395,19.670142888695825,24.036166737186047,27.117746465742126,24.65405432264646,26.29419771750457,-1.6401433948581108,28.28391740618086,28.548878996900115,28.621098990522412,-0.2649615907192562
1854-04-16 00:00:00,26.408364091833747,26.512437096033434,26.59869474822057,27.649262937426172,21.000834355220785,20.367022324480686,24.128507092669768,23.81325596264031,18.435754360128634,24.295487273288206,27.18275859210205,24.95979873782105,26.190224483295346,-1.230425745474296,29.197991807443298,28.912659688152196,29.101483053108577,0.2853321192911018
1854-05-16 12:00:00,25.05259649959611,26.37874620220015,26.859217532930437,27.885884108007453,21.42904260653885,20.59573532439193,24.401491540374465,24.02349331026022,16.767548491098722,24.502144062919154,26.78933309706148,25.21296717307663,25.467117986964492,-0.2541508138878612,29.003121743631112,29.031377348570803,28.583830609180655,-0.028255604939690926
1854-06-16 00:00:00,24.122495876871508,26.11879111167612,26.750005598459328,27.730226192384734,22.136715838295512,21.147746332239347,24.824882479040806,24.578424214169,15.27083128438435,24.89298938192494,26.14016540993018,25.72121466355218,24.52854897528309,1.1926656882690878,27.52081589480347,28.79315839353916,27.317661775116928,-1.2723424987356893
1854-07-16 12:00:00,23.483506398824932,25.477668079445657,26.285158992271622,27.44873760040501,22.947617099052206,21.909158152329102,25.396978336103285,25.2813928311602,14.193169610254664,25.245068524850673,25.505949515595074,25.973089730462984,23.578382209697164,2.39470752076582,26.817488414090878,28.312601992614063,26.65499109607921,-1.4951135785231848
1854-08-16 12:00:00,23.063777422819115,24.637535077315004,25.57846662034579,27.07051842025193,23.7343276643221,22.70716773669582,25.980268246352068,25.868092715864602,13.506523902314155,25.632401833811663,25.083856225567267,26.245458512192233,22.953090342261934,3.292368169930299,26.580792722329466,27.886225137712906,26.472585165956126,-1.3054324153834393
1854-09-16 00:00:00,23.117679569272674,24.433191936358934,25.22375321213059,26.78379955809342,24.24574627689314,23.21411453580272,26.38183291778494,26.305277495428385,13.368142189012826,25.99245869923683,25.049382342646673,26.641365623299457,22.885737168015627,3.75562845528383,26.822498812068137,27.860221039782783,26.70814064886107,-1.0377222277146458
1854-10-16 12:00:00,23.461015163507522,24.28772825430911,25.082615906623932,26.79993802639232,24.153709676072495,23.21451346265484,26.341205321024116,26.254855387240006,13.858763953267129,26.103125251094575,25.335967297589367,26.787761370576522,23.420145707426112,3.36761566315041,27.44781330130411,28.088460559783233,27.176713432888292,-0.6406472584791238
1854-11-16 00:00:00,23.956836581045327,24.14493443566622,25.008763446620122,26.94891340896421,23.42168310393601,22.598810198254384,25.760325938585282,25.559585795045198,15.102471804258965,25.690985167458482,25.761538348196073,26.257605942947993,24.192099495238338,2.065506447709655,27.80265791775436,28.18817858594205,27.617966388681452,-0.3855206681876915
1854-12-16 12:00:00,24.6390570654118,24.279647066550087,25.13725960398366,27.05204613166803,22.39562212643429,21.701917789312795,24.875359288126994,24.611010728490697,16.93998938644667,24.890202364674828,26.162835897111272,25.394783909776944,24.884788834551195,0.5099950752257492,27.56669107733369,28.228650632510014,27.78020287968368,-0.661959555176324
1855-01-16 12:00:00,25.485632931028793,24.773653223455206,25.303338420236077,27.00469995663044,21.48570084085071,20.835193629754034,24.124323247969013,23.810405010796337,18.720006336507247,24.227632606836586,26.48561162710245,24.718760726310073,25.471930247698356,-0.7531695213882834,27.35157760353906,28.027196029013396,27.771417476788873,-0.6756184254743367
1855-02-15 00:00:00,26.470193972173995,25.403325723494973,25.623172247443154,27.0667704864787,20.917240599097674,20.30461757180301,23.871879281495197,23.574043548676894,19.777949341183025,24.019480741230904,26.8136896911147,24.576632567022678,25.941246519845134,-1.364613952822456,27.610945296431467,28.039007322502076,28.072859914167037,-0.4280620260706094
1855-03-16 12:00:00,26.946933212363913,26.007209939423387,26.080919919227654,27.29842512382356,20.742905811406775,20.173501728269102,23.940572380331915,23.679605874393758,19.65396496164975,24.1012892785592,27.1266005245419,24.748250853577442,26.23332238872287,-1.4850715351454262,28.29158252307482,28.57150583940415,28.60349552186221,-0.2799233163293309
1855-04-16 00:00:00,26.482859581206327,26.545624863759432,26.64585092527246,27.700907398283377,20.999706007962587,20.360654637233115,24.176543889707187,23.8703175871981,18.470653328999454,24.32269678293587,27.19858781636071,24.99700259850422,26.096046197681456,-1.0990435991772358,29.207746837018217,28.94726448098239,29.09054337074115,0.26048235603582626
1855-05-16 12:00:00,25.0870000434656,26.413027773737404,26.88596396218662,27.93325662665144,21.457400699013558,20.605781835195902,24.480506008761285,24.116283621482687,16.834152046730363,24.56654642207685,26.801410333546933,25.291213145028053,25.43115343102289,-0.139940285994836,29.024759900112638,28.989165619062756,28.591752099129344,0.035594281049881715
1855-06-16 00:00:00,24.136070893826478,26.141230800810572,26.75192789005543,27.756648166232598,22.159891130998613,21.14886241982963,24.893958561159895,24.63963065976517,15.362287600419307,24.927345444236604,26.153844174632518,25.748240087052757,24.51255182571245,1.2356882613403073,27.57043043739962,28.744956920694474,27.32777440023464,-1.174526483294855
