time,nino12,nino3,nino34,nino4,norte,norteleste,centro,centroleste,cbm,tna,tsa,nat,sat,tasi,wtio,setio,swio,dmi
1856-03-01,0.0,24.821323,27.334911,27.738758,28.110062,21.790703,20.528778,24.41335,23.27844,19.17485,24.058205,27.74208,24.027998,26.784578,-2.7565804,28.902023,29.096893,28.898027,-0.19487
1856-04-01,0.0,23.971857,26.887611,27.240805,27.91473,21.960482,20.692768,24.582422,23.379553,17.549486,24.270586,27.597101,24.19287,26.6347,-2.4418316,29.50495,29.434889,29.27125,0.07006073
1856-05-01,0.0,22.721752,26.126017,27.07417,28.25326,22.982916,21.802267,25.023302,24.054224,15.474651,24.860577,27.087238,24.811375,26.407776,-1.5964012,29.0706,29.665672,28.655392,-0.5950718
1856-06-01,0.0,21.729452,25.33775,26.820826,28.915321,23.911825,22.462482,25.385777,24.729044,13.851523,25.311611,26.495447,25.398981,25.518898,-0.119916916,27.435146,29.052732,27.171919,-1.6175861
1856-07-01,0.0,20.451132,24.30175,26.277218,28.254787,24.786726,23.358356,25.755049,25.312086,12.803873,25.680897,25.584984,25.737892,24.907578,0.83031464,26.894764,28.307789,26.71903,-1.4130249
1856-08-01,0.0,20.162859,23.332819,25.218342,27.581161,25.741322,24.436544,26.499437,25.977158,11.922722,26.309097,25.094393,26.265102,24.634422,1.6306801,26.614,28.25413,26.380676,-1.6401291
1856-09-01,0.0,20.196405,23.241892,24.277514,27.153267,26.305567,25.113747,27.358238,26.834114,12.015493,27.09126,25.091421,27.049814,24.465006,2.5848083,26.588102,28.745268,26.315748,-2.1571655
1856-10-01,0.0,21.337227,23.161524,23.926544,26.954323,25.689356,24.604378,27.292477,26.764833,12.887953,27.029377,25.473528,27.067614,24.619171,2.4484425,27.009644,28.554195,26.892195,-1.5445518
1856-11-01,0.0,22.285671,23.083784,23.725483,26.757767,24.852745,24.096127,26.84038,26.407255,15.084436,26.636263,25.97078,26.776081,25.181305,1.5947762,27.549208,28.15997,27.602383,-0.61076164
1856-12-01,0.0,23.327444,23.383495,23.624352,26.144478,23.11504,22.369673,25.811102,25.355759,16.55999,25.549812,26.244104,25.87627,25.806438,0.06983185,27.837473,28.397665,28.158302,-0.5601921
1857-01-01,0.0,23.903036,23.849274,24.081192,26.471577,22.123943,21.276674,24.675467,23.90981,18.429392,24.357506,26.61009,24.61748,25.947073,-1.3295937,27.712156,28.408503,28.087717,-0.6963463
1857-02-01,0.0,25.351877,24.90062,24.572151,26.555944,21.455622,20.394922,23.895689,22.944899,19.187042,23.60153,26.957071,23.68663,26.768269,-3.0816383,27.701616,27.942604,27.947475,-0.24098778
1857-03-01,0.0,25.312965,25.94054,25.403656,26.699444,21.259857,20.125162,23.59809,22.545567,18.769598,23.32278,27.153,23.345943,26.839863,-3.4939194,28.668236,28.189245,28.703678,0.47899055
1857-04-01,0.0,23.97356,26.27223,26.25186,27.28577,21.664898,20.64757,24.003693,22.668352,16.610996,23.659452,27.204697,23.446985,27.094398,-3.6474133,29.329653,28.570957,29.088257,0.7586956
1857-05-01,0.0,21.685684,26.259958,27.350828,28.167622,22.497557,21.260307,24.72249,23.452002,15.038461,24.375862,26.791552,24.206957,26.297882,-2.0909252,29.236425,28.45369,28.677761,0.7827358
1857-06-01,0.0,20.37025,26.129236,27.75679,28.421223,24.194628,22.882107,25.707653,24.75032,13.449676,25.532032,26.215565,25.303637,25.657757,-0.35412025,28.049904,28.492966,27.441076,-0.44306183
1857-07-01,0.0,22.045553,25.699032,26.968489,28.346306,25.084583,23.988815,26.269323,25.471262,12.427118,26.08842,25.613256,25.864513,24.90236,0.9621525,27.189207,27.889587,26.608725,-0.7003803
1857-08-01,0.0,21.578173,24.95557,26.056465,28.039904,25.590471,24.557602,26.838936,26.396019,11.190536,26.604172,25.216412,26.598478,24.297905,2.3005733,26.281332,27.475737,25.95167,-1.1944046
1857-09-01,0.0,21.161709,24.958303,26.563362,28.295725,26.296339,25.461391,27.345749,27.025719,10.931093,27.12247,25.403809,27.14153,24.317776,2.8237534,26.352955,27.62519,26.116364,-1.2722359
1857-10-01,0.0,21.330236,24.894096,26.277996,28.17114,25.61771,24.820654,27.216845,26.82415,12.872693,26.971859,25.746996,27.027697,24.217768,2.809929,26.980085,28.119139,26.753408,-1.1390533
1857-11-01,0.0,21.788073,24.823128,26.25924,28.214401,24.209301,23.494896,26.44562,26.096722,14.143024,26.2375,26.205173,26.420012,25.151857,1.2681541,27.45406,28.240774,27.384377,-0.78671455
1857-12-01,0.0,24.471586,25.308462,26.209219,28.116827,22.895407,21.960695,25.606136,24.958384,17.088535,25.28506,26.468428,25.409096,25.446848,-0.03775215,27.347813,28.222971,27.563889,-0.8751583
1858-01-01,0.0,25.535225,25.844704,26.492651,27.921556,21.746952,20.640184,24.360727,23.51008,18.766115,24.093609,26.867926,24.186668,25.964443,-1.7777748,26.658388,28.320396,26.9855,-1.6620083
1858-02-01,0.0,26.715933,26.51954,26.562185,27.789145,21.232958,20.09327,23.885548,22.841278,19.634705,23.565014,27.161207,23.669844,26.422657,-2.7528133,27.485476,28.342312,27.71146,-0.8568363
